지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"코스피 (외국주포함)",,,,,,,"629052.0","1.084664E7","1.937575538E9"
"코스피","2453.16","9.24","0.38","2452.97","2462.70","2439.43","621263.0","1.0832198E7","1.936721169E9"
"코스피 200","318.05","1.04","0.33","318.51","319.48","316.78","187349.0","7712731.0","1.688082451E9"
"코스피 100","2393.74","6.42","0.27","2399.45","2404.69","2386.10","87297.0","6104914.0","1.53085266E9"
"코스피 50","2193.89","4.64","0.21","2201.03","2204.14","2187.40","58042.0","5307892.0","1.321738742E9"
"코스피 200 중소형주","1150.81","11.23","0.99","1139.90","1155.24","1134.22","100053.0","1607817.0","1.57229791E8"
"코스피 200 초대형제외 지수","232.45","0.32","0.14","232.33","233.51","231.15","171665.0","6718828.0","1.310792194E9"
"코스피200제외 코스피지수","3233.16","18.88","0.59","3228.20","3234.62","3218.80","420974.0","2973400.0","1.86419472E8"
"코스피 200 커뮤니케이션서비스","1786.06","-3.18","-0.18","1789.18","1792.15","1778.70","10286.0","537529.0","1.14931887E8"
"코스피 200 건설","291.01","1.44","0.50","289.77","293.24","285.93","9082.0","400076.0","4.4756814E7"
"코스피 200 중공업","274.17","1.77","0.65","272.41","275.86","269.37","15409.0","299555.0","4.895075E7"
"코스피 200 철강/소재","853.68","3.22","0.38","848.40","858.45","842.31","3555.0","307422.0","4.9349573E7"
"코스피 200 에너지/화학","1600.95","43.55","2.80","1560.88","1618.70","1549.35","29680.0","2049321.0","1.49587979E8"
"코스피 200 정보기술","3059.25","-2.51","-0.08","3096.10","3099.64","3059.25","27739.0","2013166.0","5.74193121E8"
"코스피 200 금융","582.30","-5.87","-1.00","584.85","587.02","580.14","53635.0","647137.0","1.42525873E8"
"코스피 200 생활소비재","856.72","-4.16","-0.48","854.56","859.91","850.72","4574.0","238125.0","8.8407781E7"
"코스피 200 경기소비재","1472.06","0.83","0.06","1461.83","1479.48","1456.95","9957.0","455259.0","1.45918485E8"
"코스피 200 산업재","613.40","5.19","0.85","610.02","616.22","606.02","20210.0","526218.0","2.22793377E8"
"코스피 200 헬스케어","1557.77","2.42","0.16","1550.19","1575.36","1546.45","3224.0","238923.0","1.06666812E8"
"음식료품","3650.11","-10.49","-0.29","3639.10","3667.12","3633.94","4821.0","56445.0","2.562921E7"
"섬유의복","399.79","2.49","0.63","392.01","400.85","391.24","7171.0","40312.0","9508391.0"
"종이목재","360.75","4.22","1.18","356.26","361.44","354.58","2076.0","19297.0","3096317.0"
"화학","5728.98","70.21","1.24","5664.83","5776.75","5613.92","48538.0","2665288.0","1.88779538E8"
"의약품","12795.40","-72.73","-0.57","12817.36","12917.08","12745.16","8372.0","240498.0","1.06289445E8"
"비금속광물","3432.22","-29.62","-0.86","3463.60","3463.60","3396.61","18833.0","403544.0","2.9318539E7"
"철강금속","5009.92","-11.58","-0.23","5001.84","5044.79","4959.32","49011.0","538655.0","5.8440865E7"
"기계","984.42","3.05","0.31","983.64","990.88","972.83","88706.0","848021.0","3.5380376E7"
"전기전자","25379.81","173.72","0.69","25519.92","25519.92","25303.56","104631.0","2855954.0","7.55403209E8"
"의료정밀","1930.17","55.27","2.95","1870.62","1975.17","1870.62","2750.0","57668.0","4944722.0"
"운수장비","1941.18","6.70","0.35","1925.44","1952.27","1919.11","39446.0","642015.0","1.47681408E8"
"유통업","326.69","1.07","0.33","325.27","328.34","324.26","100137.0","325984.0","6.2217782E7"
"전기가스업","779.80","5.80","0.75","774.66","780.98","771.18","2082.0","58361.0","2.0569077E7"
"건설업","73.92","1.11","1.52","72.86","74.28","71.97","8488.0","91469.0","1.4923613E7"
"운수창고업","1662.30","16.40","1.00","1652.73","1668.83","1645.63","13405.0","132760.0","3.9970283E7"
"통신업","352.27","-5.13","-1.44","354.86","355.41","351.31","7134.0","166050.0","2.3246631E7"
"금융업","344.15","-0.37","-0.11","343.63","345.36","342.45","71232.0","1012904.0","2.34266039E8"
"증권","1657.77","2.25","0.14","1647.14","1664.12","1640.66","43907.0","316076.0","2.2170747E7"
"보험","14344.42","-64.86","-0.45","14341.31","14389.94","14250.32","3479.0","60549.0","3.6475493E7"
"서비스업","1150.75","-0.01","0.00","1152.55","1154.07","1144.85","31822.0","617326.0","1.58933078E8"
"제조업","6567.99","33.06","0.51","6571.36","6598.81","6527.16","376754.0","8422409.0","1.378860736E9"
"코스피 대형주","2425.95","7.19","0.30","2428.51","2436.93","2413.75","128989.0","6473143.0","1.54190864E9"
"코스피 중형주","2789.12","20.08","0.73","2773.95","2796.46","2765.92","103673.0","2634140.0","2.40780286E8"
"코스피 소형주","2277.94","19.13","0.85","2266.24","2277.94","2256.54","375105.0","1575628.0","9.0841093E7"
"코스피 200 비중상한 30%","317.48","1.04","0.33","317.94","318.91","316.21","187349.0","7712731.0","1.688082451E9"
"코스피 200 비중상한 25%","314.29","0.97","0.31","314.68","315.70","312.98","187349.0","7712731.0","1.688082451E9"
"코스피 200 비중상한 20%","305.83","0.84","0.28","306.10","307.19","304.46","187349.0","7712731.0","1.688082451E9"
"코스피 200 TOP 10","1269.10","0.66","0.05","1273.63","1273.74","1264.58","24790.0","2334209.0","8.64167521E8"
