"2020년 OECD 국가의 주요지표"



;[1]
"국가별","국내총생산(GDP) (당해년 가격) (10억US$)","1인당 GDP(당해년 가격) (달러)","GDP 성장률 (%)","수출  (100만달러)","수입  (100만달러)","장래인구 (1000명)","실업률 (%)","소비자 물가지수 (2010=100)"
"대한민국","1638.2","31637","-0.9","512498","467633","51781","4","105.4"
"이스라엘","402","43611","-2.4","49372","69810","8656","4.3","107.5"
"일본","-","NA","NA","641341","634430","126476","2.8","105.5"
"튀르키예","720.1","8538","1.8","169835","219758","84339","13.1","263.2"
"캐나다","1643.4","43242","-5.4","392129","419688","37742","9.5","117.6"
"멕시코","1076.2","8347","-8.2","416235","-","128933","4.5","146.4"
"미국","20936.6","63544","-3.5","-","-","331003","8.1","118.7"
"칠레","252.9","13232","-5.8","71728","-","19116","11.2","135.9"
"콜롬비아","271.3","5333","-6.8","31056","43489","50883","15","144.5"
"코스타리카","61.5","12077","-4.5","12443","15237","5094","17.4","129.8"
"오스트리아","429","48105","-6.6","168920","171944","9006","5.4","119.7"
"벨기에","515.3","44594","-6.3","419910","396125","11590","5.6","118"
"체코","243.5","22762","-5.6","192574","171073","10709","2.6","120.2"
"덴마크","355.2","60909","-2.7","107227","96800","5792","5.6","110.8"
"에스토니아","31","23312","-2.9","16375","17335","1327","6.8","121.6"
"핀란드","271.2","49041","-2.8","65668","68085","5541","7.8","112.7"
"프랑스","2603","38625","-8.1","478333","572028","65274","8","110.6"
"독일","3806.1","45724","-4.9","1380378","1170726","83784","3.8","113.4"
"그리스","189.4","17676","-8.2","35170","55695","10423","16.3","100.7"
"헝가리","155","15899","-5","119412","110442","9660","4.3","125.7"
"아이슬란드","21.7","59261","-6.6","4594","5707","341","5.5","132.7"
"아일랜드","418.6","83813","3.4","178734","97969","4938","5.6","106.2"
"이탈리아","1886.4","31676","-8.9","495092","421828","60462","9.2","110.5"
"라트비아","33.5","17620","-3.6","15101","17264","1886","8.1","117.1"
"리투아니아","55.9","19998","-0.9","32768","33141","2722","8.5","119.8"
"룩셈부르크","73.3","115874","-1.3","13646","20930","626","6.8","116"
"네덜란드","912.2","52304","-3.7","551303","484785","17135","3.8","117.4"
"노르웨이","362","67294","-0.8","82743","81352","5421","4.4","121.8"
"폴란드","594.2","15656","-2.7","270939","257064","37847","3.2","118"
"포르투갈","231.3","22440","-7.6","61510","77515","10197","6.8","110.6"
"슬로바키아","104.6","19157","-4.8","83272","86476","5460","6.7","117.6"
"슬로베니아","52.9","25180","-5.5","34300","32965","2079","5","111"
"스페인","1281.2","27057","-10.8","306752","325193","46755","15.5","110.6"
"스웨덴","537.6","51926","-2.8","154297","148940","10099","8.3","111.1"
"스위스","748","86602","-2.9","319226","291721","8655","4.8","98.8"
"영국","2707.7","40285","-9.8","381130","543961","67886","NA","120.8"
"오스트레일리아","1330.9","51812","-0.3","250570","146522","25500","6.5","120.8"
"뉴질랜드","212.5","41792","1","38897","37135","4822","4.6","116.2"
;





